symbol,token,strike,expiry,option_type,lot_size
NIFTY 50,256265,0.0,2025-10-05,EQ,0
NIFTY25O0722850CE,9779458,22850.0,2025-10-07,CE,75
NIFTY25O0722850PE,9779714,22850.0,2025-10-07,PE,75
NIFTY25O0722900CE,9779970,22900.0,2025-10-07,CE,75
NIFTY25O0722900PE,9780226,22900.0,2025-10-07,PE,75
NIFTY25O0722950CE,9782018,22950.0,2025-10-07,CE,75
NIFTY25O0722950PE,9782274,22950.0,2025-10-07,PE,75
NIFTY25O0723000CE,9782530,23000.0,2025-10-07,CE,75
NIFTY25O0723000PE,9782786,23000.0,2025-10-07,PE,75
NIFTY25O0723050CE,9783042,23050.0,2025-10-07,CE,75
NIFTY25O0723050PE,9783554,23050.0,2025-10-07,PE,75
NIFTY25O0723100CE,9784578,23100.0,2025-10-07,CE,75
NIFTY25O0723100PE,9784834,23100.0,2025-10-07,PE,75
NIFTY25O0723150CE,9785090,23150.0,2025-10-07,CE,75
NIFTY25O0723150PE,9785346,23150.0,2025-10-07,PE,75
NIFTY25O0723200CE,9787138,23200.0,2025-10-07,CE,75
NIFTY25O0723200PE,9787394,23200.0,2025-10-07,PE,75
NIFTY25O0723250CE,9787650,23250.0,2025-10-07,CE,75
NIFTY25O0723250PE,9787906,23250.0,2025-10-07,PE,75
NIFTY25O0723300CE,9788162,23300.0,2025-10-07,CE,75
NIFTY25O0723300PE,9788418,23300.0,2025-10-07,PE,75
NIFTY25O0723350CE,9788674,23350.0,2025-10-07,CE,75
NIFTY25O0723350PE,9788930,23350.0,2025-10-07,PE,75
NIFTY25O0723400CE,9789698,23400.0,2025-10-07,CE,75
NIFTY25O0723400PE,9789954,23400.0,2025-10-07,PE,75
NIFTY25O0723450CE,9790210,23450.0,2025-10-07,CE,75
NIFTY25O0723450PE,9790466,23450.0,2025-10-07,PE,75
NIFTY25O0723500CE,9791234,23500.0,2025-10-07,CE,75
NIFTY25O0723500PE,9791490,23500.0,2025-10-07,PE,75
NIFTY25O0723550CE,9792770,23550.0,2025-10-07,CE,75
NIFTY25O0723550PE,9793026,23550.0,2025-10-07,PE,75
NIFTY25O0723600CE,9794818,23600.0,2025-10-07,CE,75
NIFTY25O0723600PE,9795074,23600.0,2025-10-07,PE,75
NIFTY25O0723650CE,9795842,23650.0,2025-10-07,CE,75
NIFTY25O0723650PE,9796098,23650.0,2025-10-07,PE,75
NIFTY25O0723700CE,9796354,23700.0,2025-10-07,CE,75
NIFTY25O0723700PE,9796610,23700.0,2025-10-07,PE,75
NIFTY25O0723750CE,9796866,23750.0,2025-10-07,CE,75
NIFTY25O0723750PE,9797122,23750.0,2025-10-07,PE,75
NIFTY25O0723800CE,9797890,23800.0,2025-10-07,CE,75
NIFTY25O0723800PE,9798146,23800.0,2025-10-07,PE,75
NIFTY25O0723850CE,9798402,23850.0,2025-10-07,CE,75
NIFTY25O0723850PE,9798658,23850.0,2025-10-07,PE,75
NIFTY25O0723900CE,9799426,23900.0,2025-10-07,CE,75
NIFTY25O0723900PE,9799682,23900.0,2025-10-07,PE,75
NIFTY25O0723950CE,9799938,23950.0,2025-10-07,CE,75
NIFTY25O0723950PE,9800194,23950.0,2025-10-07,PE,75
NIFTY25O0724000CE,9800450,24000.0,2025-10-07,CE,75
NIFTY25O0724000PE,9800706,24000.0,2025-10-07,PE,75
NIFTY25O0724050CE,9800962,24050.0,2025-10-07,CE,75
NIFTY25O0724050PE,9801218,24050.0,2025-10-07,PE,75
NIFTY25O0724100CE,9801474,24100.0,2025-10-07,CE,75
NIFTY25O0724100PE,9801730,24100.0,2025-10-07,PE,75
NIFTY25O0724150CE,9806594,24150.0,2025-10-07,CE,75
NIFTY25O0724150PE,9806850,24150.0,2025-10-07,PE,75
NIFTY25O0724200CE,9807106,24200.0,2025-10-07,CE,75
NIFTY25O0724200PE,9809410,24200.0,2025-10-07,PE,75
NIFTY25O0724250CE,9809666,24250.0,2025-10-07,CE,75
NIFTY25O0724250PE,9809922,24250.0,2025-10-07,PE,75
NIFTY25O0724300CE,9810178,24300.0,2025-10-07,CE,75
NIFTY25O0724300PE,9810434,24300.0,2025-10-07,PE,75
NIFTY25O0724350CE,9810690,24350.0,2025-10-07,CE,75
NIFTY25O0724350PE,9810946,24350.0,2025-10-07,PE,75
NIFTY25O0724400CE,9811202,24400.0,2025-10-07,CE,75
NIFTY25O0724400PE,9811458,24400.0,2025-10-07,PE,75
NIFTY25O0724450CE,9815298,24450.0,2025-10-07,CE,75
NIFTY25O0724450PE,9815554,24450.0,2025-10-07,PE,75
NIFTY25O0724500CE,9816834,24500.0,2025-10-07,CE,75
NIFTY25O0724500PE,9817090,24500.0,2025-10-07,PE,75
NIFTY25O0724550CE,9817858,24550.0,2025-10-07,CE,75
NIFTY25O0724550PE,9818114,24550.0,2025-10-07,PE,75
NIFTY25O0724600CE,9819394,24600.0,2025-10-07,CE,75
NIFTY25O0724600PE,9819650,24600.0,2025-10-07,PE,75
NIFTY25O0724650CE,9819906,24650.0,2025-10-07,CE,75
NIFTY25O0724650PE,9820162,24650.0,2025-10-07,PE,75
NIFTY25O0724700CE,9820418,24700.0,2025-10-07,CE,75
NIFTY25O0724700PE,9820674,24700.0,2025-10-07,PE,75
NIFTY25O0724750CE,9821954,24750.0,2025-10-07,CE,75
NIFTY25O0724750PE,9822210,24750.0,2025-10-07,PE,75
NIFTY25O0724800CE,9822466,24800.0,2025-10-07,CE,75
NIFTY25O0724800PE,9822722,24800.0,2025-10-07,PE,75
NIFTY25O0724850CE,9822978,24850.0,2025-10-07,CE,75
NIFTY25O0724850PE,9823234,24850.0,2025-10-07,PE,75
NIFTY25O0724900CE,9823746,24900.0,2025-10-07,CE,75
NIFTY25O0724900PE,9825026,24900.0,2025-10-07,PE,75
NIFTY25O0724950CE,9826562,24950.0,2025-10-07,CE,75
NIFTY25O0724950PE,9826818,24950.0,2025-10-07,PE,75
NIFTY25O0725000CE,9827074,25000.0,2025-10-07,CE,75
NIFTY25O0725000PE,9827586,25000.0,2025-10-07,PE,75
NIFTY25O0725050CE,9828610,25050.0,2025-10-07,CE,75
NIFTY25O0725050PE,9828866,25050.0,2025-10-07,PE,75
NIFTY25O0725100CE,9829122,25100.0,2025-10-07,CE,75
NIFTY25O0725100PE,9829378,25100.0,2025-10-07,PE,75
NIFTY25O0725150CE,9829634,25150.0,2025-10-07,CE,75
NIFTY25O0725150PE,9829890,25150.0,2025-10-07,PE,75
NIFTY25O0725200CE,9830146,25200.0,2025-10-07,CE,75
NIFTY25O0725200PE,9830402,25200.0,2025-10-07,PE,75
NIFTY25O0725250CE,9830658,25250.0,2025-10-07,CE,75
NIFTY25O0725250PE,9830914,25250.0,2025-10-07,PE,75
NIFTY25O0725300CE,9831170,25300.0,2025-10-07,CE,75
NIFTY25O0725300PE,9831426,25300.0,2025-10-07,PE,75
NIFTY25O0725350CE,9832194,25350.0,2025-10-07,CE,75
NIFTY25O0725350PE,9832450,25350.0,2025-10-07,PE,75
NIFTY25O0725400CE,9832706,25400.0,2025-10-07,CE,75
NIFTY25O0725400PE,9832962,25400.0,2025-10-07,PE,75
NIFTY25O0725450CE,9833218,25450.0,2025-10-07,CE,75
NIFTY25O0725450PE,9833474,25450.0,2025-10-07,PE,75
NIFTY25O0725500CE,9833730,25500.0,2025-10-07,CE,75
NIFTY25O0725500PE,9833986,25500.0,2025-10-07,PE,75
NIFTY25O0725550CE,9834242,25550.0,2025-10-07,CE,75
NIFTY25O0725550PE,9834498,25550.0,2025-10-07,PE,75
NIFTY25O0725600CE,9834754,25600.0,2025-10-07,CE,75
NIFTY25O0725600PE,9835010,25600.0,2025-10-07,PE,75
NIFTY25O0725650CE,9835266,25650.0,2025-10-07,CE,75
NIFTY25O0725650PE,9835522,25650.0,2025-10-07,PE,75
NIFTY25O0725700CE,9835778,25700.0,2025-10-07,CE,75
NIFTY25O0725700PE,9836034,25700.0,2025-10-07,PE,75
NIFTY25O0725750CE,9836546,25750.0,2025-10-07,CE,75
NIFTY25O0725750PE,9837826,25750.0,2025-10-07,PE,75
NIFTY25O0725800CE,9838082,25800.0,2025-10-07,CE,75
NIFTY25O0725800PE,9838338,25800.0,2025-10-07,PE,75
NIFTY25O0725850CE,9838850,25850.0,2025-10-07,CE,75
NIFTY25O0725850PE,9839106,25850.0,2025-10-07,PE,75
NIFTY25O0725900CE,9839874,25900.0,2025-10-07,CE,75
NIFTY25O0725900PE,9840130,25900.0,2025-10-07,PE,75
NIFTY25O0725950CE,9840386,25950.0,2025-10-07,CE,75
NIFTY25O0725950PE,9840642,25950.0,2025-10-07,PE,75
NIFTY25O0726000CE,9840898,26000.0,2025-10-07,CE,75
NIFTY25O0726000PE,9841666,26000.0,2025-10-07,PE,75
NIFTY25O0726050CE,9842434,26050.0,2025-10-07,CE,75
NIFTY25O0726050PE,9842690,26050.0,2025-10-07,PE,75
NIFTY25O0726100CE,9842946,26100.0,2025-10-07,CE,75
NIFTY25O0726100PE,9843202,26100.0,2025-10-07,PE,75
NIFTY25O0726150CE,9843458,26150.0,2025-10-07,CE,75
NIFTY25O0726150PE,9843714,26150.0,2025-10-07,PE,75
NIFTY25O0726200CE,9843970,26200.0,2025-10-07,CE,75
NIFTY25O0726200PE,9844226,26200.0,2025-10-07,PE,75
NIFTY25O0726250CE,9844482,26250.0,2025-10-07,CE,75
NIFTY25O0726250PE,9844738,26250.0,2025-10-07,PE,75
NIFTY25O0726300CE,9844994,26300.0,2025-10-07,CE,75
NIFTY25O0726300PE,9845250,26300.0,2025-10-07,PE,75
NIFTY25O0726350CE,9845506,26350.0,2025-10-07,CE,75
NIFTY25O0726350PE,9845762,26350.0,2025-10-07,PE,75
NIFTY25O0726400CE,9846018,26400.0,2025-10-07,CE,75
NIFTY25O0726400PE,9846274,26400.0,2025-10-07,PE,75
NIFTY25O0726450CE,9846530,26450.0,2025-10-07,CE,75
NIFTY25O0726450PE,9846786,26450.0,2025-10-07,PE,75
NIFTY25O0726500CE,9847042,26500.0,2025-10-07,CE,75
NIFTY25O0726500PE,9847298,26500.0,2025-10-07,PE,75
NIFTY25O0726550CE,9848322,26550.0,2025-10-07,CE,75
NIFTY25O0726550PE,9848578,26550.0,2025-10-07,PE,75
NIFTY25O0726600CE,9848834,26600.0,2025-10-07,CE,75
NIFTY25O0726600PE,9849090,26600.0,2025-10-07,PE,75
NIFTY25O0726650CE,9850626,26650.0,2025-10-07,CE,75
NIFTY25O0726650PE,9850882,26650.0,2025-10-07,PE,75
NIFTY25O0726700CE,9851138,26700.0,2025-10-07,CE,75
NIFTY25O0726700PE,9851394,26700.0,2025-10-07,PE,75
NIFTY25O0726750CE,9851650,26750.0,2025-10-07,CE,75
NIFTY25O0726750PE,9851906,26750.0,2025-10-07,PE,75
NIFTY25O0726800CE,9854722,26800.0,2025-10-07,CE,75
NIFTY25O0726800PE,9854978,26800.0,2025-10-07,PE,75
NIFTY25O0726850CE,9855234,26850.0,2025-10-07,CE,75
NIFTY25O0726850PE,9855490,26850.0,2025-10-07,PE,75
NIFTY25O0726900CE,9856258,26900.0,2025-10-07,CE,75
NIFTY25O0726900PE,9856514,26900.0,2025-10-07,PE,75
NIFTY25O0726950CE,9856770,26950.0,2025-10-07,CE,75
NIFTY25O0726950PE,9857026,26950.0,2025-10-07,PE,75
NIFTY25O0727000CE,9857282,27000.0,2025-10-07,CE,75
NIFTY25O0727000PE,9857538,27000.0,2025-10-07,PE,75
NIFTY25O0727050CE,9857794,27050.0,2025-10-07,CE,75
NIFTY25O0727050PE,9859074,27050.0,2025-10-07,PE,75
NIFTY25O0727100CE,9859586,27100.0,2025-10-07,CE,75
NIFTY25O0727100PE,9861378,27100.0,2025-10-07,PE,75
NIFTY25O0727150CE,9863170,27150.0,2025-10-07,CE,75
NIFTY25O0727150PE,9863426,27150.0,2025-10-07,PE,75
NIFTY25O1422850CE,10888962,22850.0,2025-10-14,CE,75
NIFTY25O1422850PE,10889218,22850.0,2025-10-14,PE,75
NIFTY25O1422900CE,10889474,22900.0,2025-10-14,CE,75
NIFTY25O1422900PE,10889730,22900.0,2025-10-14,PE,75
NIFTY25O1422950CE,10889986,22950.0,2025-10-14,CE,75
NIFTY25O1422950PE,10890242,22950.0,2025-10-14,PE,75
NIFTY25O1423000CE,10890498,23000.0,2025-10-14,CE,75
NIFTY25O1423000PE,10890754,23000.0,2025-10-14,PE,75
NIFTY25O1423050CE,10891010,23050.0,2025-10-14,CE,75
NIFTY25O1423050PE,10891266,23050.0,2025-10-14,PE,75
NIFTY25O1423100CE,10892034,23100.0,2025-10-14,CE,75
NIFTY25O1423100PE,10892546,23100.0,2025-10-14,PE,75
NIFTY25O1423150CE,10892802,23150.0,2025-10-14,CE,75
NIFTY25O1423150PE,10893570,23150.0,2025-10-14,PE,75
NIFTY25O1423200CE,10893826,23200.0,2025-10-14,CE,75
NIFTY25O1423200PE,10894594,23200.0,2025-10-14,PE,75
NIFTY25O1423250CE,10894850,23250.0,2025-10-14,CE,75
NIFTY25O1423250PE,10896386,23250.0,2025-10-14,PE,75
NIFTY25O1423300CE,10896642,23300.0,2025-10-14,CE,75
NIFTY25O1423300PE,10898946,23300.0,2025-10-14,PE,75
NIFTY25O1423350CE,10899202,23350.0,2025-10-14,CE,75
NIFTY25O1423350PE,10899458,23350.0,2025-10-14,PE,75
NIFTY25O1423400CE,10899714,23400.0,2025-10-14,CE,75
NIFTY25O1423400PE,10900994,23400.0,2025-10-14,PE,75
NIFTY25O1423450CE,10901250,23450.0,2025-10-14,CE,75
NIFTY25O1423450PE,10901506,23450.0,2025-10-14,PE,75
NIFTY25O1423500CE,10901762,23500.0,2025-10-14,CE,75
NIFTY25O1423500PE,10902018,23500.0,2025-10-14,PE,75
NIFTY25O1423550CE,10902274,23550.0,2025-10-14,CE,75
NIFTY25O1423550PE,10902530,23550.0,2025-10-14,PE,75
NIFTY25O1423600CE,10902786,23600.0,2025-10-14,CE,75
NIFTY25O1423600PE,10903042,23600.0,2025-10-14,PE,75
NIFTY25O1423650CE,10903298,23650.0,2025-10-14,CE,75
NIFTY25O1423650PE,10904066,23650.0,2025-10-14,PE,75
NIFTY25O1423700CE,10904322,23700.0,2025-10-14,CE,75
NIFTY25O1423700PE,10904578,23700.0,2025-10-14,PE,75
NIFTY25O1423750CE,10904834,23750.0,2025-10-14,CE,75
NIFTY25O1423750PE,10905602,23750.0,2025-10-14,PE,75
NIFTY25O1423800CE,10905858,23800.0,2025-10-14,CE,75
NIFTY25O1423800PE,10906114,23800.0,2025-10-14,PE,75
NIFTY25O1423850CE,10906370,23850.0,2025-10-14,CE,75
NIFTY25O1423850PE,10906626,23850.0,2025-10-14,PE,75
NIFTY25O1423900CE,10906882,23900.0,2025-10-14,CE,75
NIFTY25O1423900PE,10907138,23900.0,2025-10-14,PE,75
NIFTY25O1423950CE,10907394,23950.0,2025-10-14,CE,75
NIFTY25O1423950PE,10907650,23950.0,2025-10-14,PE,75
NIFTY25O1424000CE,10907906,24000.0,2025-10-14,CE,75
NIFTY25O1424000PE,10908674,24000.0,2025-10-14,PE,75
NIFTY25O1424050CE,10908930,24050.0,2025-10-14,CE,75
NIFTY25O1424050PE,10909186,24050.0,2025-10-14,PE,75
NIFTY25O1424100CE,10909442,24100.0,2025-10-14,CE,75
NIFTY25O1424100PE,10909698,24100.0,2025-10-14,PE,75
NIFTY25O1424150CE,10909954,24150.0,2025-10-14,CE,75
NIFTY25O1424150PE,10910722,24150.0,2025-10-14,PE,75
NIFTY25O1424200CE,10911234,24200.0,2025-10-14,CE,75
NIFTY25O1424200PE,10912258,24200.0,2025-10-14,PE,75
NIFTY25O1424250CE,10912514,24250.0,2025-10-14,CE,75
NIFTY25O1424250PE,10912770,24250.0,2025-10-14,PE,75
NIFTY25O1424300CE,10913026,24300.0,2025-10-14,CE,75
NIFTY25O1424300PE,10913282,24300.0,2025-10-14,PE,75
NIFTY25O1424350CE,10913538,24350.0,2025-10-14,CE,75
NIFTY25O1424350PE,10913794,24350.0,2025-10-14,PE,75
NIFTY25O1424400CE,10914050,24400.0,2025-10-14,CE,75
NIFTY25O1424400PE,10915842,24400.0,2025-10-14,PE,75
NIFTY25O1424450CE,10916098,24450.0,2025-10-14,CE,75
NIFTY25O1424450PE,10916866,24450.0,2025-10-14,PE,75
NIFTY25O1424500CE,10917122,24500.0,2025-10-14,CE,75
NIFTY25O1424500PE,10917378,24500.0,2025-10-14,PE,75
NIFTY25O1424550CE,10917634,24550.0,2025-10-14,CE,75
NIFTY25O1424550PE,10917890,24550.0,2025-10-14,PE,75
NIFTY25O1424600CE,10918146,24600.0,2025-10-14,CE,75
NIFTY25O1424600PE,10918402,24600.0,2025-10-14,PE,75
NIFTY25O1424650CE,10918658,24650.0,2025-10-14,CE,75
NIFTY25O1424650PE,10918914,24650.0,2025-10-14,PE,75
NIFTY25O1424700CE,10919170,24700.0,2025-10-14,CE,75
NIFTY25O1424700PE,10919938,24700.0,2025-10-14,PE,75
NIFTY25O1424750CE,10920194,24750.0,2025-10-14,CE,75
NIFTY25O1424750PE,10920962,24750.0,2025-10-14,PE,75
NIFTY25O1424800CE,10921218,24800.0,2025-10-14,CE,75
NIFTY25O1424800PE,10922498,24800.0,2025-10-14,PE,75
NIFTY25O1424850CE,10922754,24850.0,2025-10-14,CE,75
NIFTY25O1424850PE,10923010,24850.0,2025-10-14,PE,75
NIFTY25O1424900CE,10923266,24900.0,2025-10-14,CE,75
NIFTY25O1424900PE,10923522,24900.0,2025-10-14,PE,75
NIFTY25O1424950CE,10923778,24950.0,2025-10-14,CE,75
NIFTY25O1424950PE,10924034,24950.0,2025-10-14,PE,75
NIFTY25O1425000CE,10924290,25000.0,2025-10-14,CE,75
NIFTY25O1425000PE,10925058,25000.0,2025-10-14,PE,75
NIFTY25O1425050CE,10925314,25050.0,2025-10-14,CE,75
NIFTY25O1425050PE,10925570,25050.0,2025-10-14,PE,75
NIFTY25O1425100CE,10925826,25100.0,2025-10-14,CE,75
NIFTY25O1425100PE,10927106,25100.0,2025-10-14,PE,75
NIFTY25O1425150CE,10927362,25150.0,2025-10-14,CE,75
NIFTY25O1425150PE,10927618,25150.0,2025-10-14,PE,75
NIFTY25O1425200CE,10927874,25200.0,2025-10-14,CE,75
NIFTY25O1425200PE,10928642,25200.0,2025-10-14,PE,75
NIFTY25O1425250CE,10928898,25250.0,2025-10-14,CE,75
NIFTY25O1425250PE,10929154,25250.0,2025-10-14,PE,75
NIFTY25O1425300CE,10929410,25300.0,2025-10-14,CE,75
NIFTY25O1425300PE,10929666,25300.0,2025-10-14,PE,75
NIFTY25O1425350CE,10929922,25350.0,2025-10-14,CE,75
NIFTY25O1425350PE,10931714,25350.0,2025-10-14,PE,75
NIFTY25O1425400CE,10931970,25400.0,2025-10-14,CE,75
NIFTY25O1425400PE,10932226,25400.0,2025-10-14,PE,75
NIFTY25O1425450CE,10932482,25450.0,2025-10-14,CE,75
NIFTY25O1425450PE,10932738,25450.0,2025-10-14,PE,75
NIFTY25O1425500CE,10932994,25500.0,2025-10-14,CE,75
NIFTY25O1425500PE,10933506,25500.0,2025-10-14,PE,75
NIFTY25O1425550CE,10934018,25550.0,2025-10-14,CE,75
NIFTY25O1425550PE,10934274,25550.0,2025-10-14,PE,75
NIFTY25O1425600CE,10934530,25600.0,2025-10-14,CE,75
NIFTY25O1425600PE,10934786,25600.0,2025-10-14,PE,75
NIFTY25O1425650CE,10935042,25650.0,2025-10-14,CE,75
NIFTY25O1425650PE,10935298,25650.0,2025-10-14,PE,75
NIFTY25O1425700CE,10935554,25700.0,2025-10-14,CE,75
NIFTY25O1425700PE,10935810,25700.0,2025-10-14,PE,75
NIFTY25O1425750CE,10936066,25750.0,2025-10-14,CE,75
NIFTY25O1425750PE,10936322,25750.0,2025-10-14,PE,75
NIFTY25O1425800CE,10936578,25800.0,2025-10-14,CE,75
NIFTY25O1425800PE,10936834,25800.0,2025-10-14,PE,75
NIFTY25O1425850CE,10937090,25850.0,2025-10-14,CE,75
NIFTY25O1425850PE,10937346,25850.0,2025-10-14,PE,75
NIFTY25O1425900CE,10937602,25900.0,2025-10-14,CE,75
NIFTY25O1425900PE,10938882,25900.0,2025-10-14,PE,75
NIFTY25O1425950CE,10939138,25950.0,2025-10-14,CE,75
NIFTY25O1425950PE,10939394,25950.0,2025-10-14,PE,75
NIFTY25O1426000CE,10939650,26000.0,2025-10-14,CE,75
NIFTY25O1426000PE,10939906,26000.0,2025-10-14,PE,75
NIFTY25O1426050CE,10940162,26050.0,2025-10-14,CE,75
NIFTY25O1426050PE,10940930,26050.0,2025-10-14,PE,75
NIFTY25O1426100CE,10941186,26100.0,2025-10-14,CE,75
NIFTY25O1426100PE,10941442,26100.0,2025-10-14,PE,75
NIFTY25O1426150CE,10941698,26150.0,2025-10-14,CE,75
NIFTY25O1426150PE,10941954,26150.0,2025-10-14,PE,75
NIFTY25O1426200CE,10942210,26200.0,2025-10-14,CE,75
NIFTY25O1426200PE,10942466,26200.0,2025-10-14,PE,75
NIFTY25O1426250CE,10942722,26250.0,2025-10-14,CE,75
NIFTY25O1426250PE,10943490,26250.0,2025-10-14,PE,75
NIFTY25O1426300CE,10943746,26300.0,2025-10-14,CE,75
NIFTY25O1426300PE,10944514,26300.0,2025-10-14,PE,75
NIFTY25O1426350CE,10944770,26350.0,2025-10-14,CE,75
NIFTY25O1426350PE,10945026,26350.0,2025-10-14,PE,75
NIFTY25O1426400CE,10945282,26400.0,2025-10-14,CE,75
NIFTY25O1426400PE,10945538,26400.0,2025-10-14,PE,75
NIFTY25O1426450CE,10945794,26450.0,2025-10-14,CE,75
NIFTY25O1426450PE,10946050,26450.0,2025-10-14,PE,75
NIFTY25O1426500CE,10946306,26500.0,2025-10-14,CE,75
NIFTY25O1426500PE,10946562,26500.0,2025-10-14,PE,75
NIFTY25O1426550CE,10946818,26550.0,2025-10-14,CE,75
NIFTY25O1426550PE,10947074,26550.0,2025-10-14,PE,75
NIFTY25O1426600CE,10947330,26600.0,2025-10-14,CE,75
NIFTY25O1426600PE,10948098,26600.0,2025-10-14,PE,75
NIFTY25O1426650CE,10948354,26650.0,2025-10-14,CE,75
NIFTY25O1426650PE,10948610,26650.0,2025-10-14,PE,75
NIFTY25O1426700CE,10948866,26700.0,2025-10-14,CE,75
NIFTY25O1426700PE,10949122,26700.0,2025-10-14,PE,75
NIFTY25O1426750CE,10949378,26750.0,2025-10-14,CE,75
NIFTY25O1426750PE,10949634,26750.0,2025-10-14,PE,75
NIFTY25O1426800CE,10949890,26800.0,2025-10-14,CE,75
NIFTY25O1426800PE,10950146,26800.0,2025-10-14,PE,75
NIFTY25O1426850CE,10950402,26850.0,2025-10-14,CE,75
NIFTY25O1426850PE,10950658,26850.0,2025-10-14,PE,75
NIFTY25O1426900CE,10950914,26900.0,2025-10-14,CE,75
NIFTY25O1426900PE,10951682,26900.0,2025-10-14,PE,75
NIFTY25O1426950CE,10951938,26950.0,2025-10-14,CE,75
NIFTY25O1426950PE,10952194,26950.0,2025-10-14,PE,75
NIFTY25O1427000CE,10952450,27000.0,2025-10-14,CE,75
NIFTY25O1427000PE,10952706,27000.0,2025-10-14,PE,75
NIFTY25O1427050CE,10952962,27050.0,2025-10-14,CE,75
NIFTY25O1427050PE,10953218,27050.0,2025-10-14,PE,75
NIFTY25O1427100CE,10953474,27100.0,2025-10-14,CE,75
NIFTY25O1427100PE,10954754,27100.0,2025-10-14,PE,75
NIFTY25O1427150CE,10955010,27150.0,2025-10-14,CE,75
NIFTY25O1427150PE,10955778,27150.0,2025-10-14,PE,75
NIFTY25O2022850CE,11553794,22850.0,2025-10-20,CE,75
NIFTY25O2022850PE,11554050,22850.0,2025-10-20,PE,75
NIFTY25O2022900CE,11554306,22900.0,2025-10-20,CE,75
NIFTY25O2022900PE,11554562,22900.0,2025-10-20,PE,75
NIFTY25O2022950CE,11555842,22950.0,2025-10-20,CE,75
NIFTY25O2022950PE,11556098,22950.0,2025-10-20,PE,75
NIFTY25O2023000CE,11556354,23000.0,2025-10-20,CE,75
NIFTY25O2023000PE,11556610,23000.0,2025-10-20,PE,75
NIFTY25O2023050CE,11556866,23050.0,2025-10-20,CE,75
NIFTY25O2023050PE,11557122,23050.0,2025-10-20,PE,75
NIFTY25O2023100CE,11557378,23100.0,2025-10-20,CE,75
NIFTY25O2023100PE,11557634,23100.0,2025-10-20,PE,75
NIFTY25O2023150CE,11557890,23150.0,2025-10-20,CE,75
NIFTY25O2023150PE,11559170,23150.0,2025-10-20,PE,75
NIFTY25O2023200CE,11559938,23200.0,2025-10-20,CE,75
NIFTY25O2023200PE,11560194,23200.0,2025-10-20,PE,75
NIFTY25O2023250CE,11561474,23250.0,2025-10-20,CE,75
NIFTY25O2023250PE,11561730,23250.0,2025-10-20,PE,75
NIFTY25O2023300CE,11561986,23300.0,2025-10-20,CE,75
NIFTY25O2023300PE,11562242,23300.0,2025-10-20,PE,75
NIFTY25O2023350CE,11562498,23350.0,2025-10-20,CE,75
NIFTY25O2023350PE,11562754,23350.0,2025-10-20,PE,75
NIFTY25O2023400CE,11564034,23400.0,2025-10-20,CE,75
NIFTY25O2023400PE,11564290,23400.0,2025-10-20,PE,75
NIFTY25O2023450CE,11564546,23450.0,2025-10-20,CE,75
NIFTY25O2023450PE,11564802,23450.0,2025-10-20,PE,75
NIFTY25O2023500CE,11565058,23500.0,2025-10-20,CE,75
NIFTY25O2023500PE,11565314,23500.0,2025-10-20,PE,75
NIFTY25O2023550CE,11565570,23550.0,2025-10-20,CE,75
NIFTY25O2023550PE,11565826,23550.0,2025-10-20,PE,75
NIFTY25O2023600CE,11566082,23600.0,2025-10-20,CE,75
NIFTY25O2023600PE,11566338,23600.0,2025-10-20,PE,75
NIFTY25O2023650CE,11566594,23650.0,2025-10-20,CE,75
NIFTY25O2023650PE,11566850,23650.0,2025-10-20,PE,75
NIFTY25O2023700CE,11567874,23700.0,2025-10-20,CE,75
NIFTY25O2023700PE,11568130,23700.0,2025-10-20,PE,75
